Vivado Simulator 2017.2
Time resolution is 1 ps
it=xxxx, x=xxxxxxxxxxxxxxxx, z0=0000000000000000
it=0100, x=0000000111001101, z0=1101111001111101
it=0100, x=0000000011100110, z0=1101111001111101
it=0100, x=0000000001110011, z0=1101111001111101
it=0100, x=0000000000111001, z0=1101111001111101
it=0100, x=0000000000011100, z0=1101111001111101
it=0100, x=0000000000001110, z0=1101111001111101
it=0100, x=0000000000000111, z0=1101111001111101
it=0100, x=0000000000000011, z0=1101111001111101
it=0100, x=0000000000000001, z0=1101111001111101
it=0100, x=0000000000000000, z0=1101111001111101
it=0101, x=0011011111111011, z0=1101111001111101
it=0101, x=0001101111111101, z0=1101111001111101
it=0101, x=0000110111111110, z0=1101111001111101
it=0101, x=0000011011111111, z0=1101111001111101
it=0101, x=0000001101111111, z0=1101111001111101
it=0101, x=0000000110111111, z0=1101111001111101
it=0101, x=0000000011011111, z0=1101111001111101
it=0101, x=0000000001101111, z0=1101111001111101
it=0101, x=0000000000110111, z0=1101111001111101
it=0101, x=0000000000011011, z0=1101111001111101
it=0101, x=0000000000001101, z0=1101111001111101
it=0101, x=0000000000000110, z0=1101111001111101
it=0101, x=0000000000000011, z0=1101111001111101
it=0101, x=0000000000000001, z0=1101111001111101
it=0101, x=0000000000000000, z0=1101111001111101
it=0110, x=0011011100000011, z0=1101111001111101
it=0110, x=0001101110000001, z0=1101111001111101
it=0110, x=0000110111000000, z0=1101111001111101
it=0110, x=0000011011100000, z0=1101111001111101
it=0110, x=0000001101110000, z0=1101111001111101
it=0110, x=0000000110111000, z0=1101111001111101
it=0110, x=0000000011011100, z0=1101111001111101
it=0110, x=0000000001101110, z0=1101111001111101
it=0110, x=0000000000110111, z0=1101111001111101
it=0110, x=0000000000011011, z0=1101111001111101
it=0110, x=0000000000001101, z0=1101111001111101
it=0110, x=0000000000000110, z0=1101111001111101
it=0110, x=0000000000000011, z0=1101111001111101
it=0110, x=0000000000000001, z0=1101111001111101
it=0110, x=0000000000000000, z0=1101111001111101
it=0111, x=0011011110000110, z0=1101111001111101
it=0111, x=0001101111000011, z0=1101111001111101
it=0111, x=0000110111100001, z0=1101111001111101
it=0111, x=0000011011110000, z0=1101111001111101
it=0111, x=0000001101111000, z0=1101111001111101
it=0111, x=0000000110111100, z0=1101111001111101
it=0111, x=0000000011011110, z0=1101111001111101
it=0111, x=0000000001101111, z0=1101111001111101
it=0111, x=0000000000110111, z0=1101111001111101
it=0111, x=0000000000011011, z0=1101111001111101
it=0111, x=0000000000001101, z0=1101111001111101
it=0111, x=0000000000000110, z0=1101111001111101
it=0111, x=0000000000000011, z0=1101111001111101
it=0111, x=0000000000000001, z0=1101111001111101
it=0111, x=0000000000000000, z0=1101111001111101
it=1000, x=0011011101000110, z0=1101111001111101
it=1000, x=0001101110100011, z0=1101111001111101
it=1000, x=0000110111010001, z0=1101111001111101
it=1000, x=0000011011101000, z0=1101111001111101
it=1000, x=0000001101110100, z0=1101111001111101
it=1000, x=0000000110111010, z0=1101111001111101
it=1000, x=0000000011011101, z0=1101111001111101
it=1000, x=0000000001101110, z0=1101111001111101
it=1000, x=0000000000110111, z0=1101111001111101
it=1000, x=0000000000011011, z0=1101111001111101
it=1000, x=0000000000001101, z0=1101111001111101
it=1000, x=0000000000000110, z0=1101111001111101
it=1000, x=0000000000000011, z0=1101111001111101
it=1000, x=0000000000000001, z0=1101111001111101
it=1000, x=0000000000000000, z0=1101111001111101
it=1001, x=0011011101100111, z0=1101111001111101
it=1001, x=0001101110110011, z0=1101111001111101
it=1001, x=0000110111011001, z0=1101111001111101
it=1001, x=0000011011101100, z0=1101111001111101
it=1001, x=0000001101110110, z0=1101111001111101
it=1001, x=0000000110111011, z0=1101111001111101
it=1001, x=0000000011011101, z0=1101111001111101
it=1001, x=0000000001101110, z0=1101111001111101
it=1001, x=0000000000110111, z0=1101111001111101
it=1001, x=0000000000011011, z0=1101111001111101
it=1001, x=0000000000001101, z0=1101111001111101
it=1001, x=0000000000000110, z0=1101111001111101
it=1001, x=0000000000000011, z0=1101111001111101
it=1001, x=0000000000000001, z0=1101111001111101
it=1001, x=0000000000000000, z0=1101111001111101
it=1010, x=0011011101111000, z0=1101111001111101
it=1010, x=0001101110111100, z0=1101111001111101
it=1010, x=0000110111011110, z0=1101111001111101
it=1010, x=0000011011101111, z0=11011
